车辆编号,进入时刻 (秒),速度 (米/秒),离开时刻 (秒),停留时间
638,3214.75,12.54,3254.64,39.88
639,3220.67,12.27,3261.41,40.74
640,3226.02,12.58,3265.77,39.75
641,3233.11,10.70,3279.84,46.74
642,3237.97,10.15,3287.23,49.26
643,3244.07,11.01,3289.49,45.42
644,3248.03,13.37,3285.44,37.41
645,3252.41,14.34,3287.28,34.87
646,3259.32,10.89,3305.26,45.93
647,3265.19,14.72,3299.15,33.96
648,3270.69,13.42,3307.96,37.27
649,3278.09,14.34,3312.95,34.86
650,3283.04,12.85,3321.94,38.90
651,3289.14,11.08,3334.27,45.13
652,3295.33,13.29,3332.94,37.61
653,3301.96,10.53,3349.43,47.47
654,3305.82,13.29,3343.44,37.62
655,3310.75,14.35,3345.59,34.83
656,3316.08,13.91,3352.02,35.94
657,3322.69,14.39,3357.43,34.74
658,3328.15,12.02,3369.74,41.59
659,3334.34,14.04,3369.95,35.61
660,3338.11,13.81,3374.31,36.20
661,3342.81,14.09,3378.30,35.49
662,3349.19,10.60,3396.35,47.17
663,3354.01,11.62,3397.03,43.02
664,3359.03,11.83,3401.29,42.26
665,3365.62,11.94,3407.49,41.87
666,3369.78,12.24,3410.62,40.84
667,3374.14,11.14,3419.04,44.90
668,3377.82,10.37,3426.05,48.23
669,3384.46,13.10,3422.63,38.18
670,3390.47,12.32,3431.06,40.59
671,3396.45,12.60,3436.15,39.70
672,3401.12,12.40,3441.46,40.34
673,3404.73,12.90,3443.49,38.76
674,3408.09,12.67,3447.56,39.47
675,3414.47,14.06,3450.02,35.55
676,3420.04,13.59,3456.83,36.79
677,3425.80,11.22,3470.37,44.57
678,3431.08,14.64,3465.24,34.16
679,3435.32,12.43,3475.55,40.23
680,3440.04,11.28,3484.35,44.31
681,3444.05,14.02,3479.73,35.68
682,3447.95,12.70,3487.33,39.38
683,3453.87,13.58,3490.69,36.82
684,3457.30,11.36,3501.30,44.00
685,3461.32,10.91,3507.16,45.85
686,3466.09,13.41,3503.39,37.30
687,3471.20,13.55,3508.11,36.91
688,3474.86,10.53,3522.33,47.46
689,3478.27,14.81,3512.02,33.75
690,3483.71,12.42,3523.98,40.27
691,3488.93,10.22,3537.87,48.94
692,3495.30,13.17,3533.28,37.98
693,3500.42,14.10,3535.89,35.47
694,3505.96,14.42,3540.64,34.67
695,3510.26,13.05,3548.56,38.30
696,3514.60,12.06,3556.08,41.48
697,3518.36,13.90,3554.32,35.96
698,3522.66,11.37,3566.62,43.96
699,3527.37,13.34,3564.85,37.49
700,3533.61,10.48,3581.34,47.72
701,3537.78,12.93,3576.44,38.66
702,3544.92,10.84,3591.05,46.13
703,3550.56,11.08,3595.67,45.11
704,3555.97,10.48,3603.69,47.72
705,3561.02,13.04,3599.37,38.36
706,3565.87,12.73,3605.14,39.27
707,3570.31,12.97,3608.86,38.54
708,3573.94,12.48,3613.99,40.05
709,3578.14,12.14,3619.32,41.18
710,3584.78,13.59,3621.57,36.80
711,3590.35,11.37,3634.32,43.97
712,3596.97,10.40,3645.07,48.09
